,area,intensity_mean,major_axis_length,minor_axis_length,aspect_ratio,source_file
0,256,93.25,19.99501733,17.02155873,1.174687797,BBBC007_20P1_POS0007_D_1UL
1,90,82.48888889,15.93996916,7.51632629,2.120712772,BBBC007_20P1_POS0007_D_1UL
2,577,90.63778163,35.32445778,21.75943418,1.623408839,BBBC007_20P1_POS0007_D_1UL
3,270,95.64074074,20.22943133,17.66905213,1.144907558,BBBC007_20P1_POS0007_D_1UL
4,153,84.90849673,15.68370299,12.42047516,1.26272971,BBBC007_20P1_POS0007_D_1UL
5,454,97.28414097,24.40079471,23.72307688,1.028567872,BBBC007_20P1_POS0007_D_1UL
6,319,93.05015674,21.45362367,19.04671466,1.126368723,BBBC007_20P1_POS0007_D_1UL
7,152,76.61184211,16.92829115,11.53617076,1.467409896,BBBC007_20P1_POS0007_D_1UL
8,256,94.67578125,18.84903534,17.28457669,1.090511829,BBBC007_20P1_POS0007_D_1UL
9,637,95.27472527,47.77285554,20.02830311,2.385267253,BBBC007_20P1_POS0007_D_1UL
10,325,101.96,21.73551013,19.0481887,1.141080156,BBBC007_20P1_POS0007_D_1UL
11,310,94.52903226,20.70205944,19.21741672,1.077255062,BBBC007_20P1_POS0007_D_1UL
12,255,93.54117647,19.88258618,16.39314047,1.212860112,BBBC007_20P1_POS0007_D_1UL
13,316,105.4208861,20.46735385,19.68092957,1.039958696,BBBC007_20P1_POS0007_D_1UL
14,307,91.94788274,21.50381682,18.31708959,1.173975632,BBBC007_20P1_POS0007_D_1UL
15,374,91.79679144,24.53663899,19.45938281,1.260915581,BBBC007_20P1_POS0007_D_1UL
16,327,98.40978593,21.71409797,19.18060104,1.13208642,BBBC007_20P1_POS0007_D_1UL
17,718,78.45821727,41.49863343,23.03337478,1.801674042,BBBC007_20P1_POS0007_D_1UL
18,291,113.8762887,19.52647577,19.00263248,1.02756688,BBBC007_20P1_POS0007_D_1UL
19,141,79.46808511,14.38242015,12.49840882,1.150740095,BBBC007_20P1_POS0007_D_1UL
20,356,74.43539326,33.18624031,14.6390586,2.266965467,BBBC007_20P1_POS0007_D_1UL
21,326,94.8803681,23.8575524,17.67577613,1.349731532,BBBC007_20P1_POS0007_D_1UL
22,160,95.79375,14.56021978,13.96956513,1.042281534,BBBC007_20P1_POS0007_D_1UL
23,246,111.6869919,18.65680882,16.77345601,1.112281739,BBBC007_20P1_POS0007_D_1UL
24,115,85.66086957,18.47712388,8.427745539,2.192415967,BBBC007_20P1_POS0007_D_1UL
